/usr/local/lib/python3.11/dist-packages/transformers/utils/hub.py:124: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(
/usr/local/lib/python3.11/dist-packages/huggingface_hub/file_download.py:949: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
opt_iter 26, matchness 0.0200
opt_iter 27, matchness 0.1000
opt_iter 28, matchness 0.1400
opt_iter 29, matchness 0.3800
opt_iter 30, matchness 0.0400
opt_iter 31, matchness 0.0000
opt_iter 32, matchness 0.0800
opt_iter 33, matchness 0.1000
opt_iter 34, matchness 0.3200
opt_iter 35, matchness 0.0400
opt_iter 36, matchness 0.0800
opt_iter 37, matchness 0.0800
opt_iter 38, matchness 0.0200
opt_iter 39, matchness 0.2600
opt_iter 40, matchness 0.2000
opt_iter 41, matchness 0.0600
opt_iter 42, matchness 0.0400
opt_iter 43, matchness 0.1400
opt_iter 44, matchness 0.0800
opt_iter 45, matchness 0.1200
opt_iter 46, matchness 0.3000
opt_iter 47, matchness 0.0400
opt_iter 48, matchness 0.0600
******************************Bayes Search!******************************
opt_iter 49, matchness 0.3600
opt_iter 50, matchness 0.3200
opt_iter 51, matchness 0.4000
==============================matchness changed from 0.3800 to 0.4000==============================
opt_iter 52, matchness 0.1600
opt_iter 53, matchness 0.0200
opt_iter 54, matchness 0.0400
opt_iter 55, matchness 0.2600
opt_iter 56, matchness 0.0400
opt_iter 57, matchness 0.1200
opt_iter 58, matchness 0.1800
opt_iter 59, matchness 0.0400
opt_iter 60, matchness 0.0800
opt_iter 61, matchness 0.0600
opt_iter 62, matchness 0.0800
opt_iter 63, matchness 0.2000
opt_iter 64, matchness 0.0800
opt_iter 65, matchness 0.2000
opt_iter 66, matchness 0.2600
opt_iter 67, matchness 0.1400
opt_iter 68, matchness 0.1600
opt_iter 69, matchness 0.1600
opt_iter 70, matchness 0.3600
opt_iter 71, matchness 0.2800
opt_iter 72, matchness 0.2600
opt_iter 73, matchness 0.0400
******************************Bayes Search!******************************
opt_iter 74, matchness 0.6200
==============================matchness changed from 0.4000 to 0.6200==============================
opt_iter 75, matchness 0.0400
opt_iter 76, matchness 0.1800
opt_iter 77, matchness 0.0600
opt_iter 78, matchness 0.1400
opt_iter 79, matchness 0.1800
opt_iter 80, matchness 0.2200
opt_iter 81, matchness 0.2000
opt_iter 82, matchness 0.2600
opt_iter 83, matchness 0.2400
opt_iter 84, matchness 0.2400
opt_iter 85, matchness 0.1800
opt_iter 86, matchness 0.0600
opt_iter 87, matchness 0.3000
opt_iter 88, matchness 0.0400
opt_iter 89, matchness 0.1400
opt_iter 90, matchness 0.2400
opt_iter 91, matchness 0.0800
opt_iter 92, matchness 0.3800
opt_iter 93, matchness 0.0400
opt_iter 94, matchness 0.1400
opt_iter 95, matchness 0.2600
opt_iter 96, matchness 0.2200
opt_iter 97, matchness 0.1600
opt_iter 98, matchness 0.0800
******************************Bayes Search!******************************
opt_iter 99, matchness 0.4800
opt_iter 100, matchness 0.2600
opt_iter 101, matchness 0.0400
opt_iter 102, matchness 0.0800
opt_iter 103, matchness 0.0400
opt_iter 104, matchness 0.2000
opt_iter 105, matchness 0.3000
opt_iter 106, matchness 0.0600
opt_iter 107, matchness 0.2000
opt_iter 108, matchness 0.0600
opt_iter 109, matchness 0.1400
opt_iter 110, matchness 0.3000
opt_iter 111, matchness 0.3400
opt_iter 112, matchness 0.3400
opt_iter 113, matchness 0.2400
opt_iter 114, matchness 0.1200
opt_iter 115, matchness 0.2400
opt_iter 116, matchness 0.3000
opt_iter 117, matchness 0.0800
opt_iter 118, matchness 0.0600
opt_iter 119, matchness 0.0800
opt_iter 120, matchness 0.0000
opt_iter 121, matchness 0.1400
opt_iter 122, matchness 0.0400
opt_iter 123, matchness 0.0000
******************************Bayes Search!******************************
opt_iter 124, matchness 0.2600
opt_iter 125, matchness 0.0800
opt_iter 126, matchness 0.0400
opt_iter 127, matchness 0.0400
opt_iter 128, matchness 0.0600
opt_iter 129, matchness 0.0800
opt_iter 130, matchness 0.0600
opt_iter 131, matchness 0.3600
opt_iter 132, matchness 0.3600
opt_iter 133, matchness 0.0400
opt_iter 134, matchness 0.1600
opt_iter 135, matchness 0.1400
opt_iter 136, matchness 0.1800
opt_iter 137, matchness 0.0000
opt_iter 138, matchness 0.0800
opt_iter 139, matchness 0.1400
opt_iter 140, matchness 0.1800
opt_iter 141, matchness 0.3400
opt_iter 142, matchness 0.2400
opt_iter 143, matchness 0.0400
opt_iter 144, matchness 0.2400
opt_iter 145, matchness 0.3400
opt_iter 146, matchness 0.3000
opt_iter 147, matchness 0.0400
opt_iter 148, matchness 0.0600
******************************Bayes Search!******************************
opt_iter 149, matchness 0.3800
opt_iter 150, matchness 0.0800
opt_iter 151, matchness 0.3200
opt_iter 152, matchness 0.1200
opt_iter 153, matchness 0.3600
opt_iter 154, matchness 0.0200
opt_iter 155, matchness 0.1200
opt_iter 156, matchness 0.2200
opt_iter 157, matchness 0.1800
opt_iter 158, matchness 0.2600
opt_iter 159, matchness 0.0200
opt_iter 160, matchness 0.0200
opt_iter 161, matchness 0.2400
opt_iter 162, matchness 0.2000
opt_iter 163, matchness 0.0400
opt_iter 164, matchness 0.2400
opt_iter 165, matchness 0.0400
opt_iter 166, matchness 0.1600
opt_iter 167, matchness 0.1400
opt_iter 168, matchness 0.3200
opt_iter 169, matchness 0.2600
opt_iter 170, matchness 0.0200
opt_iter 171, matchness 0.1800
opt_iter 172, matchness 0.0400
opt_iter 173, matchness 0.2000
******************************Bayes Search!******************************
opt_iter 174, matchness 0.4400
opt_iter 175, matchness 0.3000
opt_iter 176, matchness 0.0600
opt_iter 177, matchness 0.1200
opt_iter 178, matchness 0.1200
opt_iter 179, matchness 0.2200
opt_iter 180, matchness 0.2800
opt_iter 181, matchness 0.2000
opt_iter 182, matchness 0.0600
opt_iter 183, matchness 0.2200
opt_iter 184, matchness 0.2000
opt_iter 185, matchness 0.1800
opt_iter 186, matchness 0.1600
opt_iter 187, matchness 0.2400
opt_iter 188, matchness 0.0800
opt_iter 189, matchness 0.0400
opt_iter 190, matchness 0.4000
opt_iter 191, matchness 0.0400
token acceptance rate: 0.9050632911392406
  1%|          | 1/100 [00:36<1:00:00, 36.37s/it]opt_iter 192, matchness 0.3000
opt_iter 193, matchness 0.3800
opt_iter 194, matchness 0.2800
opt_iter 195, matchness 0.0400
opt_iter 196, matchness 0.0600
opt_iter 197, matchness 0.4000
opt_iter 198, matchness 0.3800
******************************Bayes Search!******************************
opt_iter 199, matchness 0.3400
opt_iter 200, matchness 0.4600
opt_iter 201, matchness 0.1200
opt_iter 202, matchness 0.0400
opt_iter 203, matchness 0.2800
opt_iter 204, matchness 0.3400
opt_iter 205, matchness 0.2200
opt_iter 206, matchness 0.1400
opt_iter 207, matchness 0.0400
opt_iter 208, matchness 0.2400
opt_iter 209, matchness 0.0600
opt_iter 210, matchness 0.4200
opt_iter 211, matchness 0.2400
opt_iter 212, matchness 0.3800
opt_iter 213, matchness 0.3600
opt_iter 214, matchness 0.1600
opt_iter 215, matchness 0.0200
opt_iter 216, matchness 0.1000
opt_iter 217, matchness 0.0000
opt_iter 218, matchness 0.0600
opt_iter 219, matchness 0.1200
opt_iter 220, matchness 0.2400
opt_iter 221, matchness 0.2800
opt_iter 222, matchness 0.5600
opt_iter 223, matchness 0.0800
******************************Bayes Search!******************************
opt_iter 224, matchness 0.6200
opt_iter 225, matchness 0.1800
opt_iter 226, matchness 0.3400
opt_iter 227, matchness 0.4400
opt_iter 228, matchness 0.1200
opt_iter 229, matchness 0.1000
opt_iter 230, matchness 0.1400
opt_iter 231, matchness 0.0400
opt_iter 232, matchness 0.0600
opt_iter 233, matchness 0.1200
opt_iter 234, matchness 0.3000
opt_iter 235, matchness 0.1000
opt_iter 236, matchness 0.0600
opt_iter 237, matchness 0.0400
opt_iter 238, matchness 0.1200
opt_iter 239, matchness 0.2800
opt_iter 240, matchness 0.4600
opt_iter 241, matchness 0.3000
opt_iter 242, matchness 0.1400
opt_iter 243, matchness 0.0800
opt_iter 244, matchness 0.1800
opt_iter 245, matchness 0.1600
opt_iter 246, matchness 0.0400
opt_iter 247, matchness 0.2200
opt_iter 248, matchness 0.0000
******************************Bayes Search!******************************
opt_iter 249, matchness 0.6400
==============================matchness changed from 0.6200 to 0.6400==============================
opt_iter 250, matchness 0.5200
opt_iter 251, matchness 0.4600
opt_iter 252, matchness 0.4400
opt_iter 253, matchness 0.2400
opt_iter 254, matchness 0.2000
opt_iter 255, matchness 0.2200
opt_iter 256, matchness 0.1800
opt_iter 257, matchness 0.2200
opt_iter 258, matchness 0.2600
opt_iter 259, matchness 0.0400
opt_iter 260, matchness 0.2200
opt_iter 261, matchness 0.2600
opt_iter 262, matchness 0.3400
opt_iter 263, matchness 0.2400
opt_iter 264, matchness 0.1200
opt_iter 265, matchness 0.1000
opt_iter 266, matchness 0.2000
opt_iter 267, matchness 0.1400
opt_iter 268, matchness 0.0400
opt_iter 269, matchness 0.3000
opt_iter 270, matchness 0.0600
opt_iter 271, matchness 0.2400
opt_iter 272, matchness 0.1400
opt_iter 273, matchness 0.0800
******************************Bayes Search!******************************
opt_iter 274, matchness 0.5200
opt_iter 275, matchness 0.1600
opt_iter 276, matchness 0.0200
opt_iter 277, matchness 0.1800
opt_iter 278, matchness 0.3200
opt_iter 279, matchness 0.0800
opt_iter 280, matchness 0.2200
opt_iter 281, matchness 0.3600
opt_iter 282, matchness 0.3600
opt_iter 283, matchness 0.2000
opt_iter 284, matchness 0.0200
opt_iter 285, matchness 0.3600
opt_iter 286, matchness 0.2000
opt_iter 287, matchness 0.1200
opt_iter 288, matchness 0.0400
opt_iter 289, matchness 0.2400
opt_iter 290, matchness 0.0800
opt_iter 291, matchness 0.3800
opt_iter 292, matchness 0.0800
opt_iter 293, matchness 0.0800
opt_iter 294, matchness 0.0800
opt_iter 295, matchness 0.2000
opt_iter 296, matchness 0.0400
opt_iter 297, matchness 0.3400
opt_iter 298, matchness 0.2600
******************************Bayes Search!******************************
opt_iter 299, matchness 0.6400
opt_iter 300, matchness 0.2000
opt_iter 301, matchness 0.3400
opt_iter 302, matchness 0.4000
opt_iter 303, matchness 0.0600
opt_iter 304, matchness 0.2000
opt_iter 305, matchness 0.2600
opt_iter 306, matchness 0.0800
opt_iter 307, matchness 0.0200
opt_iter 308, matchness 0.0800
opt_iter 309, matchness 0.2400
opt_iter 310, matchness 0.1800
opt_iter 311, matchness 0.4000
opt_iter 312, matchness 0.1400
opt_iter 313, matchness 0.4000
opt_iter 314, matchness 0.3800
opt_iter 315, matchness 0.0800
opt_iter 316, matchness 0.2800
opt_iter 317, matchness 0.0400
opt_iter 318, matchness 0.0000
opt_iter 319, matchness 0.2000
opt_iter 320, matchness 0.2200
opt_iter 321, matchness 0.1400
opt_iter 322, matchness 0.0400
opt_iter 323, matchness 0.6200
******************************Bayes Search!******************************
opt_iter 324, matchness 0.6000
opt_iter 325, matchness 0.0600
opt_iter 326, matchness 0.2400
opt_iter 327, matchness 0.1800
opt_iter 328, matchness 0.2200
opt_iter 329, matchness 0.0800
opt_iter 330, matchness 0.2200
opt_iter 331, matchness 0.1600
opt_iter 332, matchness 0.5000
opt_iter 333, matchness 0.0800
opt_iter 334, matchness 0.0800
opt_iter 335, matchness 0.1200
opt_iter 336, matchness 0.2200
opt_iter 337, matchness 0.2600
opt_iter 338, matchness 0.0600
opt_iter 339, matchness 0.2800
opt_iter 340, matchness 0.2000
opt_iter 341, matchness 0.3800
opt_iter 342, matchness 0.1800
opt_iter 343, matchness 0.0400
opt_iter 344, matchness 0.2800
opt_iter 345, matchness 0.2400
opt_iter 346, matchness 0.2000
opt_iter 347, matchness 0.0000
opt_iter 348, matchness 0.0600
******************************Bayes Search!******************************
opt_iter 349, matchness 0.5800
opt_iter 350, matchness 0.2800
opt_iter 351, matchness 0.2000
opt_iter 352, matchness 0.3600
opt_iter 353, matchness 0.0600
opt_iter 354, matchness 0.3000
opt_iter 355, matchness 0.2600
opt_iter 356, matchness 0.0800
opt_iter 357, matchness 0.2000
opt_iter 358, matchness 0.1000
opt_iter 359, matchness 0.3800
opt_iter 360, matchness 0.3600
opt_iter 361, matchness 0.1800
opt_iter 362, matchness 0.3000
opt_iter 363, matchness 0.1000
opt_iter 364, matchness 0.0600
opt_iter 365, matchness 0.0800
opt_iter 366, matchness 0.0200
opt_iter 367, matchness 0.1800
opt_iter 368, matchness 0.0400
opt_iter 369, matchness 0.2200
opt_iter 370, matchness 0.5000
opt_iter 371, matchness 0.0200
opt_iter 372, matchness 0.0600
opt_iter 373, matchness 0.1800
******************************Bayes Search!******************************
opt_iter 374, matchness 0.5600
opt_iter 375, matchness 0.4000
opt_iter 376, matchness 0.0400
opt_iter 377, matchness 0.0000
opt_iter 378, matchness 0.2400
opt_iter 379, matchness 0.3400
opt_iter 380, matchness 0.1800
opt_iter 381, matchness 0.1400
opt_iter 382, matchness 0.1800
opt_iter 383, matchness 0.1800
token acceptance rate: 0.9611650485436893
  2%|▏         | 2/100 [01:34<1:20:04, 49.02s/it]opt_iter 384, matchness 0.1400
opt_iter 385, matchness 0.4000
opt_iter 386, matchness 0.0200
opt_iter 387, matchness 0.2600
opt_iter 388, matchness 0.0400
opt_iter 389, matchness 0.3600
opt_iter 390, matchness 0.2200
opt_iter 391, matchness 0.0400
opt_iter 392, matchness 0.1600
opt_iter 393, matchness 0.1400
opt_iter 394, matchness 0.1400
opt_iter 395, matchness 0.1000
opt_iter 396, matchness 0.0400
opt_iter 397, matchness 0.1400
opt_iter 398, matchness 0.0200
******************************Bayes Search!******************************
opt_iter 399, matchness 0.3200
opt_iter 400, matchness 0.0000
opt_iter 401, matchness 0.3800
opt_iter 402, matchness 0.0000
opt_iter 403, matchness 0.1400
opt_iter 404, matchness 0.0800
opt_iter 405, matchness 0.1600
opt_iter 406, matchness 0.2600
opt_iter 407, matchness 0.1400
opt_iter 408, matchness 0.2000
opt_iter 409, matchness 0.2000
opt_iter 410, matchness 0.1800
opt_iter 411, matchness 0.1600
opt_iter 412, matchness 0.2200
opt_iter 413, matchness 0.2400
opt_iter 414, matchness 0.1400
opt_iter 415, matchness 0.3600
opt_iter 416, matchness 0.2200
opt_iter 417, matchness 0.0600
opt_iter 418, matchness 0.4400
opt_iter 419, matchness 0.3400
opt_iter 420, matchness 0.1000
opt_iter 421, matchness 0.1200
opt_iter 422, matchness 0.0600
opt_iter 423, matchness 0.0200
******************************Bayes Search!******************************
opt_iter 424, matchness 0.2800
opt_iter 425, matchness 0.0600
opt_iter 426, matchness 0.0600
opt_iter 427, matchness 0.2200
opt_iter 428, matchness 0.1000
opt_iter 429, matchness 0.0800
opt_iter 430, matchness 0.1200
opt_iter 431, matchness 0.1200
opt_iter 432, matchness 0.1400
opt_iter 433, matchness 0.1800
opt_iter 434, matchness 0.0200
opt_iter 435, matchness 0.1600
opt_iter 436, matchness 0.0200
opt_iter 437, matchness 0.0200
opt_iter 438, matchness 0.1400
opt_iter 439, matchness 0.0200
opt_iter 440, matchness 0.0000
opt_iter 441, matchness 0.0800
opt_iter 442, matchness 0.1000
opt_iter 443, matchness 0.0200
opt_iter 444, matchness 0.0200
opt_iter 445, matchness 0.1400
opt_iter 446, matchness 0.1000
opt_iter 447, matchness 0.0400
opt_iter 448, matchness 0.1200
******************************Bayes Search!******************************
opt_iter 449, matchness 0.3800
opt_iter 450, matchness 0.0400
opt_iter 451, matchness 0.1800
opt_iter 452, matchness 0.3400
opt_iter 453, matchness 0.0600
opt_iter 454, matchness 0.1600
opt_iter 455, matchness 0.1000
opt_iter 456, matchness 0.1200
opt_iter 457, matchness 0.0400
opt_iter 458, matchness 0.3200
opt_iter 459, matchness 0.3000
opt_iter 460, matchness 0.5600
opt_iter 461, matchness 0.1200
opt_iter 462, matchness 0.4400
opt_iter 463, matchness 0.0400
opt_iter 464, matchness 0.2400
opt_iter 465, matchness 0.0200
opt_iter 466, matchness 0.1200
opt_iter 467, matchness 0.2800
opt_iter 468, matchness 0.0800
opt_iter 469, matchness 0.0600
opt_iter 470, matchness 0.2400
opt_iter 471, matchness 0.4200
opt_iter 472, matchness 0.2800
opt_iter 473, matchness 0.2400
******************************Bayes Search!******************************
opt_iter 474, matchness 0.5000
opt_iter 475, matchness 0.1200
opt_iter 476, matchness 0.2400
opt_iter 477, matchness 0.0600
opt_iter 478, matchness 0.1200
opt_iter 479, matchness 0.1200
opt_iter 480, matchness 0.2000
opt_iter 481, matchness 0.2000
opt_iter 482, matchness 0.1400
opt_iter 483, matchness 0.1200
opt_iter 484, matchness 0.1800
opt_iter 485, matchness 0.2200
opt_iter 486, matchness 0.2400
opt_iter 487, matchness 0.0400
opt_iter 488, matchness 0.1200
opt_iter 489, matchness 0.0000
opt_iter 490, matchness 0.2600
opt_iter 491, matchness 0.1400
opt_iter 492, matchness 0.1800
opt_iter 493, matchness 0.0400
opt_iter 494, matchness 0.2800
opt_iter 495, matchness 0.2000
opt_iter 496, matchness 0.1600
opt_iter 497, matchness 0.0800
opt_iter 498, matchness 0.2400
******************************Bayes Search!******************************
opt_iter 499, matchness 0.5200
opt_iter 500, matchness 0.0800
opt_iter 501, matchness 0.0600
opt_iter 502, matchness 0.0200
opt_iter 503, matchness 0.1800
opt_iter 504, matchness 0.1000
opt_iter 505, matchness 0.2400
opt_iter 506, matchness 0.0000
opt_iter 507, matchness 0.3200
opt_iter 508, matchness 0.1600
opt_iter 509, matchness 0.0200
opt_iter 510, matchness 0.1800
opt_iter 511, matchness 0.0600
opt_iter 512, matchness 0.0400
opt_iter 513, matchness 0.0800
opt_iter 514, matchness 0.3600
opt_iter 515, matchness 0.3200
opt_iter 516, matchness 0.1000
opt_iter 517, matchness 0.2000
opt_iter 518, matchness 0.0800
opt_iter 519, matchness 0.0200
opt_iter 520, matchness 0.2200
opt_iter 521, matchness 0.0400
opt_iter 522, matchness 0.4000
opt_iter 523, matchness 0.3600
******************************Bayes Search!******************************
opt_iter 524, matchness 0.5000
opt_iter 525, matchness 0.3000
opt_iter 526, matchness 0.1600
opt_iter 527, matchness 0.1200
opt_iter 528, matchness 0.0800
opt_iter 529, matchness 0.2600
opt_iter 530, matchness 0.1000
opt_iter 531, matchness 0.0200
opt_iter 532, matchness 0.0400
opt_iter 533, matchness 0.1000
opt_iter 534, matchness 0.1600
opt_iter 535, matchness 0.1800
opt_iter 536, matchness 0.0800
opt_iter 537, matchness 0.2400
opt_iter 538, matchness 0.2000
opt_iter 539, matchness 0.1800
opt_iter 540, matchness 0.2800
opt_iter 541, matchness 0.0200
opt_iter 542, matchness 0.2000
opt_iter 543, matchness 0.0800
opt_iter 544, matchness 0.2800
opt_iter 545, matchness 0.0600
opt_iter 546, matchness 0.0400
opt_iter 547, matchness 0.0000
opt_iter 548, matchness 0.0400
******************************Bayes Search!******************************
opt_iter 549, matchness 0.4000
opt_iter 550, matchness 0.1600
==============================Optimization Stopped because the optimization iter reaches the max tolerance!==============================
token acceptance rate: 0.884180790960452
  3%|▎         | 3/100 [02:56<1:43:35, 64.08s/it]token acceptance rate: 0.9899665551839465
  4%|▍         | 4/100 [03:10<1:11:09, 44.47s/it]token acceptance rate: 0.9102167182662538
  5%|▌         | 5/100 [03:23<52:29, 33.15s/it]  token acceptance rate: 0.9966442953020134
  6%|▌         | 6/100 [03:37<41:38, 26.58s/it]token acceptance rate: 0.9845201238390093
  7%|▋         | 7/100 [03:52<35:07, 22.66s/it]token acceptance rate: 0.9531772575250836
  8%|▊         | 8/100 [04:04<29:53, 19.49s/it]token acceptance rate: 0.9721362229102167
  9%|▉         | 9/100 [04:18<26:48, 17.67s/it]token acceptance rate: 0.9302325581395349
 10%|█         | 10/100 [04:30<23:39, 15.77s/it]token acceptance rate: 0.9808306709265175
 11%|█         | 11/100 [04:42<21:43, 14.64s/it]token acceptance rate: 0.9526627218934911
 12%|█▏        | 12/100 [04:55<20:55, 14.27s/it]token acceptance rate: 0.9278688524590164
 13%|█▎        | 13/100 [05:10<20:56, 14.44s/it]token acceptance rate: 1.0
 14%|█▍        | 14/100 [05:23<20:01, 13.97s/it]token acceptance rate: 0.9873015873015873
 15%|█▌        | 15/100 [05:32<17:55, 12.66s/it]token acceptance rate: 0.941747572815534
 16%|█▌        | 16/100 [05:47<18:36, 13.30s/it]token acceptance rate: 0.994269340974212
 17%|█▋        | 17/100 [05:59<17:44, 12.82s/it]token acceptance rate: 0.9512987012987013
 18%|█▊        | 18/100 [06:09<16:29, 12.06s/it]token acceptance rate: 0.9706840390879479
 19%|█▉        | 19/100 [06:22<16:37, 12.31s/it]token acceptance rate: 0.9935064935064936
 20%|██        | 20/100 [06:34<16:07, 12.09s/it]token acceptance rate: 0.9844236760124611
 21%|██        | 21/100 [06:48<16:38, 12.64s/it]token acceptance rate: 0.9837662337662337
 22%|██▏       | 22/100 [06:57<15:15, 11.73s/it]token acceptance rate: 0.9345794392523364
 23%|██▎       | 23/100 [07:07<14:20, 11.17s/it]token acceptance rate: 0.9489795918367347
 24%|██▍       | 24/100 [07:17<13:51, 10.94s/it]token acceptance rate: 0.965625
 25%|██▌       | 25/100 [07:27<13:13, 10.58s/it]token acceptance rate: 0.9746835443037974
 26%|██▌       | 26/100 [07:37<12:40, 10.28s/it]token acceptance rate: 0.9686520376175548
 27%|██▋       | 27/100 [07:46<12:15, 10.08s/it]token acceptance rate: 0.9865771812080537
 28%|██▊       | 28/100 [07:56<11:55,  9.94s/it]token acceptance rate: 0.9349112426035503
 29%|██▉       | 29/100 [08:06<11:53, 10.05s/it]token acceptance rate: 0.9794520547945206
 30%|███       | 30/100 [08:17<12:01, 10.30s/it]token acceptance rate: 0.9806451612903225
 31%|███       | 31/100 [08:27<11:34, 10.06s/it]token acceptance rate: 0.9702970297029703
 32%|███▏      | 32/100 [08:37<11:19, 10.00s/it]token acceptance rate: 0.9683908045977011
 33%|███▎      | 33/100 [08:46<11:00,  9.86s/it]token acceptance rate: 0.982089552238806
 34%|███▍      | 34/100 [08:55<10:41,  9.72s/it]token acceptance rate: 0.9901315789473685
 35%|███▌      | 35/100 [09:06<10:43,  9.90s/it]token acceptance rate: 0.9620689655172414
 36%|███▌      | 36/100 [09:16<10:32,  9.89s/it]token acceptance rate: 0.996742671009772
 37%|███▋      | 37/100 [09:25<10:19,  9.83s/it]token acceptance rate: 0.954954954954955
 38%|███▊      | 38/100 [09:35<10:05,  9.77s/it]token acceptance rate: 0.9611650485436893
 39%|███▉      | 39/100 [09:45<09:56,  9.78s/it]token acceptance rate: 0.9423076923076923
 40%|████      | 40/100 [09:55<09:53,  9.90s/it]token acceptance rate: 0.9518900343642611
 41%|████      | 41/100 [10:05<09:49, 10.00s/it]token acceptance rate: 0.9770491803278688
 42%|████▏     | 42/100 [10:15<09:37,  9.95s/it]token acceptance rate: 0.9727891156462585
 43%|████▎     | 43/100 [10:25<09:28,  9.97s/it]token acceptance rate: 0.984472049689441
 44%|████▍     | 44/100 [10:35<09:12,  9.87s/it]token acceptance rate: 0.9310344827586207
 45%|████▌     | 45/100 [10:45<09:04,  9.91s/it]token acceptance rate: 0.9191616766467066
 46%|████▌     | 46/100 [10:55<09:01, 10.03s/it]token acceptance rate: 0.9556962025316456
 47%|████▋     | 47/100 [11:06<09:10, 10.38s/it]token acceptance rate: 0.9681528662420382
 48%|████▊     | 48/100 [11:20<09:48, 11.32s/it]token acceptance rate: 0.8978978978978979
 49%|████▉     | 49/100 [11:33<10:14, 12.05s/it]token acceptance rate: 0.9871382636655949
 50%|█████     | 50/100 [11:46<10:05, 12.11s/it]token acceptance rate: 0.946031746031746
 51%|█████     | 51/100 [11:56<09:22, 11.47s/it]token acceptance rate: 0.9285714285714286
 52%|█████▏    | 52/100 [12:06<08:48, 11.02s/it]token acceptance rate: 0.993920972644377
 53%|█████▎    | 53/100 [12:15<08:15, 10.54s/it]token acceptance rate: 0.9646302250803859
 54%|█████▍    | 54/100 [12:27<08:20, 10.88s/it]token acceptance rate: 0.9668874172185431
 55%|█████▌    | 55/100 [12:40<08:37, 11.49s/it]token acceptance rate: 0.9698996655518395
 56%|█████▌    | 56/100 [12:51<08:26, 11.52s/it]token acceptance rate: 0.982089552238806
 57%|█████▋    | 57/100 [13:02<08:05, 11.29s/it]token acceptance rate: 0.9968847352024922
 58%|█████▊    | 58/100 [13:12<07:32, 10.78s/it]token acceptance rate: 0.948220064724919
 59%|█████▉    | 59/100 [13:22<07:11, 10.53s/it]token acceptance rate: 0.9907692307692307
 60%|██████    | 60/100 [13:32<07:01, 10.53s/it]token acceptance rate: 0.9555555555555556
 61%|██████    | 61/100 [13:44<07:12, 11.09s/it]token acceptance rate: 0.9522292993630573
 62%|██████▏   | 62/100 [13:54<06:48, 10.74s/it]token acceptance rate: 0.9781931464174455
 63%|██████▎   | 63/100 [14:04<06:27, 10.48s/it]token acceptance rate: 0.954983922829582
 64%|██████▍   | 64/100 [14:14<06:12, 10.34s/it]token acceptance rate: 0.993421052631579
 65%|██████▌   | 65/100 [14:24<05:52, 10.06s/it]token acceptance rate: 0.987987987987988
 66%|██████▌   | 66/100 [14:33<05:35,  9.86s/it]token acceptance rate: 0.9772727272727273
 67%|██████▋   | 67/100 [14:43<05:26,  9.90s/it]token acceptance rate: 0.8761329305135952
 68%|██████▊   | 68/100 [14:54<05:26, 10.20s/it]token acceptance rate: 0.9545454545454546
 69%|██████▉   | 69/100 [15:04<05:13, 10.11s/it]token acceptance rate: 0.9885386819484241
 70%|███████   | 70/100 [15:13<04:54,  9.83s/it]token acceptance rate: 0.9690721649484536
